s_m,x_m,y_m,yaw_rad,curvature_1pm,target_speed_mps,lon_deg,lat_deg
0.0,757.1720128757715,-335.8175078760542,-3.0952359346968508,4.363990493387744e-11,0.5,118.8225108,31.8854833
0.2,756.9722277313011,-335.82677589962344,-3.0952359346961087,-7.970638002031602e-12,0.7280109889280518,118.82250868629426,31.88548321674393
0.4,756.7724425881739,-335.83604392319273,-3.0952359346960803,-7.166695646996841e-12,0.9,118.82250657258852,31.885483133487856
0.6000000000000001,756.5726574437035,-335.8453119463665,-3.0952359346956464,2.3076181177001334e-11,1.044030650891055,118.82250445888278,31.885483050231787
0.8,756.3728722992331,-335.85457997033126,-3.095235934695683,2.4689691830672158e-11,1.1704699910719625,118.82250234517703,31.88548296697571
1.0,756.1730871561059,-335.86384799390055,-3.095235934695661,-2.6082619169549958e-11,1.284523257866513,118.8225002314713,31.88548288371964
1.2000000000000002,755.9733020116355,-335.87311601746984,-3.0952359346956517,-2.435280089338679e-11,1.3892443989449805,118.82249811776555,31.885482800463567
1.4000000000000001,755.7735168671651,-335.8823840406436,-3.095235934695637,-2.2889973249070107e-11,1.4866068747318506,118.8224960040598,31.8854827172075
1.6,755.5737317240379,-335.89165206421285,-3.0952359346961047,8.520906248724085e-12,1.57797338380595,118.82249389035407,31.885482633951426
1.8,755.3739465809107,-335.90092008778214,-3.095235934696088,7.134303439651552e-12,1.6643316977093237,118.82249177664833,31.885482550695354
2.0,755.1741614364403,-335.91018811135143,-3.095235934696227,-5.200262399817179e-13,1.7464249196572978,118.82248966294259,31.88548246743928
2.2,754.9743762933131,-335.91945613492067,-3.095235934696089,-7.911841388439592e-12,1.8248287590894658,118.82248754923685,31.88548238418321
2.4000000000000004,754.7745911488427,-335.92872415848996,-3.0952359346956517,2.3584621491795166e-11,1.9,118.8224854355311,31.885482300927137
2.6,754.5748060043722,-335.93799218205925,-3.095235934695666,2.65532826186212e-11,1.972308292331602,118.82248332182536,31.885482217671065
2.8000000000000003,754.375020861245,-335.9472602056285,-3.0952359346956952,2.386031223867631e-11,2.0420577856662137,118.82248120811963,31.885482134414993
3.0,754.1752357167746,-335.9565282291978,-3.095235934695669,-2.4753673164294658e-11,2.1095023109728985,118.82247909441388,31.88548205115892
3.2,753.9754505723042,-335.96579625276706,-3.0952359346956198,-2.357636737368969e-11,2.1748563170931545,118.82247698070813,31.885481967902848
3.4000000000000004,753.775665429177,-335.97506427594084,-3.0952359346960865,9.203347072390774e-12,2.238302928559939,118.8224748670024,31.88548188464678
3.6,753.5758802847066,-335.98433229951013,-3.0952359346961065,8.134440149862975e-12,2.3,118.82247275329665,31.885481801390707
3.8000000000000003,753.3760951402362,-335.99360032307936,-3.095235934696226,-1.528691623887196e-13,2.360084744241189,118.8224706395909,31.885481718134635
4.0,753.176309997109,-336.0028683470441,-3.09523593469608,-9.443816171706628e-12,2.4186773244895647,118.82246852588517,31.88548163487856
4.2,752.9765248526386,-336.0121363702179,-3.0952359346960883,-7.866450056799133e-12,2.4758836806279896,118.82246641217942,31.88548155162249
4.4,752.7767397081682,-336.0214043937872,-3.095235934695652,2.315082449518639e-11,2.5317977802344327,118.82246429847368,31.885481468366418
4.6000000000000005,752.576954565041,-336.03067241735647,-3.0952359346957,2.385592227327664e-11,2.5865034312755126,118.82246218476794,31.885481385110346
4.800000000000001,752.3771694205706,-336.0399404409257,-3.0952359346956495,-2.333712781015167e-11,2.6400757564888173,118.8224600710622,31.885481301854274
5.0,752.1773842774433,-336.049208464495,-3.0952359346956584,-2.518311728779838e-11,2.692582403567252,118.82245795735646,31.8854812185982
5.2,751.977599134316,-336.05847648766877,-3.095235934695633,-2.1911455235698978e-11,2.7440845468024486,118.82245584365073,31.885481135342133
5.4,751.7778139898456,-336.06774451123806,-3.0952359346961122,7.950004448212135e-12,2.7946377224964243,118.82245372994498,31.88548105208606
5.6000000000000005,751.5780288453752,-336.0770125352028,-3.095235934696205,5.262367022068598e-13,2.844292530665579,118.82245161623923,31.885480968829985
5.800000000000001,751.378243702248,-336.0862805587721,-3.0952359346960936,-8.13652299055698e-12,2.8930952282978875,118.8224495025335,31.885480885573912
6.0,751.1784585577776,-336.0955485819459,-3.095235934696083,-6.98704209839584e-12,2.9410882339705493,118.82244738882775,31.885480802317844
6.2,750.9786734133072,-336.10481660551517,-3.0952359346956433,2.2013328404600286e-11,2.9883105594967874,118.822445275122,31.88548071906177
6.4,750.77888827018,-336.1140846290844,-3.09523593469568,2.614336783327925e-11,3.0,118.82244316141627,31.8854806358057
6.6000000000000005,750.5791031257096,-336.1233526526537,-3.0952359346957024,2.30107953003449e-11,3.0,118.82244104771053,31.885480552549627
6.800000000000001,750.3793179812392,-336.132620676223,-3.09523593469566,-2.3773350899545963e-11,3.0,118.82243893400478,31.885480469293555
7.0,750.179532838112,-336.14188869939676,-3.095235934695619,-2.0339519529234794e-11,3.0,118.82243682029905,31.885480386037486
7.2,749.9797476936416,-336.1511567233615,-3.0952359346961105,7.456456124503811e-12,3.0,118.8224347065933,31.88548030278141
7.4,749.7799625491712,-336.16042474693074,-3.0952359346961114,7.52977677644606e-12,3.0,118.82243259288755,31.885480219525338
7.6000000000000005,749.580177406044,-336.16969277050003,-3.0952359346962224,-4.659023069727902e-13,3.0,118.82243047918182,31.885480136269265
7.800000000000001,749.3803922615735,-336.1789607940693,-3.095235934696077,-7.057036336873905e-12,3.0,118.82242836547607,31.885480053013193
8.0,749.1806071171031,-336.1882288172431,-3.095235934696072,-6.714656576488832e-12,3.0,118.82242625177032,31.885479969757125
8.200000000000001,748.9808219739759,-336.1974968408124,-3.0952359346956717,2.3117534626576026e-11,3.0,118.82242413806459,31.885479886501052
8.4,748.7810368308487,-336.2067648643816,-3.09523593469569,2.1310399629449213e-11,3.0,118.82242202435886,31.88547980324498
8.6,748.5812516863783,-336.2160328879509,-3.0952359346956366,-2.2857706182522177e-11,3.0,118.82241991065311,31.885479719988908
8.8,748.3814665432511,-336.2253009115202,-3.09523593469564,-2.4210999971619354e-11,3.0,118.82241779694738,31.885479636732835
9.0,748.1816813987807,-336.23456893508944,-3.0952359346956366,-2.0564805191364014e-11,3.0,118.82241568324163,31.885479553476763
9.200000000000001,747.9818962543103,-336.24383695865873,-3.0952359346960994,8.190193611049813e-12,3.0,118.82241356953588,31.88547947022069
9.4,747.7821111111831,-336.253104982228,-3.0952359346962215,-1.2235741303936358e-12,3.0,118.82241145583015,31.88547938696462
9.600000000000001,747.5823259667127,-336.26237300579726,-3.095235934696088,-8.040513738873761e-12,3.0,118.8224093421244,31.885479303708546
9.8,747.3825408222423,-336.27164102897103,-3.095235934696071,-6.1601487728549355e-12,3.0,118.82240722841865,31.885479220452478
10.0,747.1827556791151,-336.2809090525403,-3.0952359346956593,2.390914467823728e-11,3.0,118.82240511471292,31.885479137196405
10.200000000000001,746.9829705346447,-336.2901770761096,-3.0952359346957086,2.4780284613495575e-11,3.0,118.82240300100717,31.885479053940333
10.4,746.7831853901743,-336.29944510007437,-3.0952359346957175,2.1872490199151914e-11,3.0,118.82240088730143,31.885478970684257
10.600000000000001,746.583400247047,-336.3087131236436,-3.095235934695625,-2.451358646320031e-11,3.0,118.8223987735957,31.885478887428185
10.8,746.3836151025766,-336.31798114681743,-3.095235934695617,-1.933949643619571e-11,3.0,118.82239665988995,31.885478804172116
11.0,746.1838299581062,-336.32724917038666,-3.09523593469611,7.481222727737574e-12,3.0,118.8223945461842,31.885478720916044
11.200000000000001,745.9840448149789,-336.33651719395596,-3.0952359346961233,7.316959322775757e-12,3.0,118.82239243247847,31.885478637659972
11.4,745.7842596705086,-336.34578521752525,-3.095235934696202,-1.1314529721473595e-13,3.0,118.82239031877272,31.8854785544039
11.600000000000001,745.5844745260382,-336.355053240699,-3.095235934696092,-8.226594105702125e-12,3.0,118.82238820506697,31.88547847114783
11.8,745.3846893842541,-336.36432126426826,-3.0952359346960594,-6.071499191324948e-12,3.0,118.82238609136125,31.88547838789176
12.0,745.1849042397837,-336.37358928823306,-3.095235934695684,2.3002345080057998e-11,3.0,118.8223839776555,31.885478304635683
12.200000000000001,744.9851190953133,-336.3828573118023,-3.0952359346957046,2.2148341413556606e-11,3.0,118.82238186394976,31.88547822137961
12.4,744.7853339521861,-336.3921253353716,-3.095235934695643,-2.3692554917511406e-11,3.0,118.82237975024402,31.88547813812354
12.600000000000001,744.5855488077157,-336.40139335854536,-3.0952359346956246,-2.3883879235849387e-11,3.0,118.82237763653828,31.88547805486747
12.8,744.3857636632453,-336.41066138211465,-3.095235934695612,-2.0808307591638163e-11,3.0,118.82237552283253,31.885477971611397
13.0,744.185978520118,-336.4199294056839,-3.095235934696106,7.670518214934663e-12,3.0,118.8223734091268,31.885477888355325
13.200000000000001,743.9861933756476,-336.4291974292532,-3.095235934696214,-1.2093973485143797e-12,3.0,118.82237129542105,31.885477805099253
13.4,743.7864082311772,-336.43846545282247,-3.095235934696089,-7.728394366767496e-12,3.0,118.8223691817153,31.88547772184318
13.600000000000001,743.58662308805,-336.4477334763917,-3.095235934696039,-6.775929121508472e-12,3.0,118.82236706800957,31.88547763858711
13.8,743.3868379435796,-336.457001499961,-3.0952359346956895,2.234103899198441e-11,3.0,118.82236495430382,31.885477555331036
14.0,743.1870527991092,-336.4662695235303,-3.09523593469572,2.4328157671550833e-11,3.0,118.82236284059807,31.885477472074964
14.200000000000001,742.987267655982,-336.4755375470995,-3.0952359346957268,2.08317920505191e-11,3.0,118.82236072689234,31.88547738881889
14.4,742.7874825115116,-336.4848055702733,-3.095235934695617,-2.199552762715198e-11,3.0,118.8223586131866,31.885477305562823
14.600000000000001,742.5876973670412,-336.4940735938426,-3.0952359346956344,-1.966244284062951e-11,3.0,118.82235649948085,31.88547722230675
14.8,742.387912223914,-336.5033416174119,-3.0952359346961122,6.8610113547439746e-12,3.0,118.82235438577511,31.88547713905068
15.0,742.1881270807868,-336.5126096413766,-3.0952359346961065,5.596731282584792e-12,3.0,118.82235227206938,31.885477055794603
15.200000000000001,741.9883419363164,-336.5218776649459,-3.0952359346961993,-4.802825677922841e-13,3.0,118.82235015836363,31.88547697253853
15.4,741.7885567931892,-336.5311456881197,-3.0952359346960834,-7.676457328061713e-12,3.0,118.8223480446579,31.88547688928246
15.600000000000001,741.5887716487188,-336.5404137116889,-3.0952359346960545,-5.259740995741703e-12,3.0,118.82234593095215,31.88547680602639
15.8,741.3889865042484,-336.5496817352582,-3.095235934695676,2.145730131224362e-11,3.0,118.8223438172464,31.885476722770317
16.0,741.1892013611211,-336.5589497588275,-3.0952359346957303,1.968862042753349e-11,3.0,118.82234170354067,31.885476639514245
16.2,740.9894162166507,-336.5682177820013,-3.0952359346956246,-2.2886964951986683e-11,3.0,118.82233958983493,31.885476556258176
16.400000000000002,740.7896310721803,-336.5774858055706,-3.0952359346956175,-2.302895369102873e-11,3.0,118.82233747612918,31.885476473002104
16.6,740.5898459290531,-336.5867538295353,-3.0952359346956126,-1.9851100047763227e-11,3.0,118.82233536242344,31.885476389746028
16.8,740.3900607845827,-336.59602185310456,-3.095235934696116,6.9161671276757624e-12,3.0,118.8223332487177,31.885476306489956
17.0,740.1902756401123,-336.60528987667385,-3.0952359346961313,6.346524423341813e-12,3.0,118.82233113501195,31.885476223233884
