s_m,x_m,y_m,yaw_rad,curvature_1pm,target_speed_mps,lon_deg,lat_deg
0.0,757.1720128757715,-335.8175078760542,-3.0952359346968508,1.6784880356783453e-09,0.5,118.8225108,31.8854833
0.2,756.9722277318291,-335.826775899599,-3.0952359346961087,-1.671067221018558e-09,0.7280109889280518,118.82250868629426,31.88548321674393
0.4,756.7724425878929,-335.83604392320575,-3.0952359346960803,-5.759676912571664e-08,0.9,118.82250657258852,31.885483133487856
0.6000000000000001,756.5726574439321,-335.84531194635593,-3.0952359346956464,5.7601107793734814e-08,1.044030650891055,118.82250445888278,31.885483050231787
0.8,756.3728723000079,-335.8545799702953,-3.095235934695683,-6.091424729245065e-08,1.1704699910719625,118.82250234517704,31.88548296697571
1.0,756.1730871560718,-335.86384799390214,-3.095235934695661,1.6586415036098251e-09,1.284523257866513,118.8225002314713,31.88548288371964
1.2000000000000002,755.9733020121292,-335.87311601744693,-3.0952359346956517,-1.6585483731608031e-09,1.3892443989449805,118.82249811776555,31.885482800463567
1.4000000000000001,755.7735168681686,-335.8823840405971,-3.095235934695637,5.760557959201993e-08,1.4866068747318506,118.82249600405981,31.8854827172075
1.6,755.5737317242323,-335.8916520642038,-3.0952359346961047,-1.0995526514361986e-08,1.57797338380595,118.82249389035407,31.885482633951426
1.8,755.3739465802962,-335.9009200878106,-3.095235934696088,1.6729277349983558e-09,1.6643316977093237,118.82249177664833,31.885482550695354
2.0,755.1741614363538,-335.91018811135547,-3.095235934696227,1.1002490076321198e-08,1.7464249196572978,118.82248966294259,31.88548246743928
2.2,754.9743762924176,-335.9194561349622,-3.095235934696089,1.6672034099780618e-09,1.8248287590894658,118.82248754923684,31.88548238418321
2.4000000000000004,754.7745911484751,-335.928724158507,-3.0952359346956517,1.6585970483730147e-09,1.9,118.8224854355311,31.885482300927137
2.6,754.5748060045325,-335.9379921820518,-3.095235934695666,-1.658739177754278e-09,1.972308292331602,118.82248332182536,31.885482217671065
2.8000000000000003,754.3750208605965,-335.94726020565855,-3.0952359346956952,1.6594985966868888e-09,2.0420577856662137,118.82248120811963,31.885482134414993
3.0,754.175235716654,-335.95652822920334,-3.095235934695669,1.6584815981668738e-09,2.1095023109728985,118.82247909441388,31.88548205115892
3.2,753.9754505727115,-335.9657962527482,-3.0952359346956198,-1.657988606596971e-09,2.1748563170931545,118.82247698070813,31.885481967902848
3.4000000000000004,753.7756654287571,-335.97506427596034,-3.0952359346960865,1.6716977123159695e-09,2.238302928559939,118.8224748670024,31.88548188464678
3.6,753.5758802848147,-335.98433229950507,-3.0952359346961065,-1.6718976159512374e-09,2.3,118.82247275329665,31.885481801390707
3.8000000000000003,753.3760951408723,-335.99360032304986,-3.095235934696226,-1.665969195143297e-09,2.360084744241189,118.8224706395909,31.885481718134635
4.0,753.1763099969543,-336.0028683470513,-3.09523593469608,-5.759235943709731e-08,2.4186773244895647,118.82246852588517,31.88548163487856
4.2,752.9765248529936,-336.0121363702014,-3.0952359346960883,5.7592274829554805e-08,2.4758836806279896,118.82246641217942,31.88548155162249
4.4,752.7767397090512,-336.02140439374625,-3.095235934695652,-1.6628290418758715e-09,2.5317977802344327,118.82246429847369,31.885481468366418
4.6000000000000005,752.5769545651148,-336.030672417353,-3.0952359346957,-1.0996103679960097e-08,2.5865034312755126,118.82246218476794,31.885481385110346
4.800000000000001,752.3771694211723,-336.03994044089774,-3.0952359346956495,-1.6503773917460147e-09,2.6400757564888173,118.8224600710622,31.885481301854274
5.0,752.1773842772362,-336.0492084645046,-3.0952359346956584,-4.826866396777408e-08,2.692582403567252,118.82245795735646,31.8854812185982
5.2,751.9775991332818,-336.05847648771675,-3.095235934695633,1.6626870520388985e-09,2.7440845468024486,118.82245584365072,31.885481135342133
5.4,751.7778139893394,-336.06774451126154,-3.0952359346961122,6.092842304137866e-08,2.7946377224964243,118.82245372994498,31.88548105208606
5.6000000000000005,751.5780288454151,-336.077012535201,-3.095235934696205,-6.092935156271782e-08,2.844292530665579,118.82245161623923,31.885480968829985
5.800000000000001,751.3782437014789,-336.0862805588078,-3.0952359346960936,-5.759213697506277e-08,2.8930952282978875,118.82244950253349,31.885480885573912
6.0,751.1784585575183,-336.0955485819579,-3.095235934696083,1.6669948578675594e-09,2.9410882339705493,118.82244738882775,31.885480802317844
6.2,750.9786734135758,-336.1048166055027,-3.0952359346956433,-1.6625983445282603e-09,2.9883105594967874,118.822445275122,31.88548071906177
6.4,750.7788882696395,-336.11408462910947,-3.09523593469568,1.6595295318735768e-09,3.0,118.82244316141627,31.8854806358057
6.6000000000000005,750.5791031256971,-336.12335265265426,-3.0952359346957024,1.6595518934639425e-09,3.0,118.82244104771053,31.885480552549627
6.800000000000001,750.3793179817546,-336.13262067619905,-3.09523593469566,-1.659129943401927e-09,3.0,118.82243893400478,31.885480469293555
7.0,750.1795328378003,-336.1418886994112,-3.095235934695619,6.091760956137806e-08,3.0,118.82243682029905,31.885480386037486
7.2,749.979747693876,-336.15115672335065,-3.0952359346961105,-6.092252562233444e-08,3.0,118.8224347065933,31.88548030278141
7.4,749.7799625499337,-336.1604247468954,-3.0952359346961114,-1.6637175307975567e-09,3.0,118.82243259288757,31.885480219525338
7.6000000000000005,749.5801774059973,-336.1696927705022,-3.0952359346962224,1.6741225430453375e-09,3.0,118.82243047918182,31.885480136269265
7.800000000000001,749.380392262055,-336.178960794047,-3.095235934696077,-1.672670500746256e-09,3.0,118.82242836547607,31.885480053013193
8.0,749.1806071180943,-336.1882288171971,-3.095235934696072,5.7592629851723765e-08,3.0,118.82242625177034,31.885479969757125
8.200000000000001,748.9808219741581,-336.197496840804,-3.0952359346956717,-1.0999731973857076e-08,3.0,118.82242413806459,31.885479886501052
8.4,748.7810368302219,-336.20676486441073,-3.09523593469569,1.6590678846955063e-09,3.0,118.82242202435886,31.88547980324498
8.6,748.5812516862794,-336.2160328879555,-3.0952359346956366,1.0994713665492625e-08,3.0,118.82241991065311,31.885479719988908
8.8,748.3814665423432,-336.22530091156233,-3.09523593469564,1.6495556276898732e-09,3.0,118.82241779694736,31.885479636732835
9.0,748.1816813984008,-336.23456893510706,-3.0952359346956366,1.6626293131016848e-09,3.0,118.82241568324163,31.885479553476763
9.200000000000001,747.9818962544583,-336.24383695865185,-3.0952359346960994,-1.6672567456868339e-09,3.0,118.82241356953588,31.88547947022069
9.4,747.782111110522,-336.25310498225866,-3.0952359346962215,1.6656937148035233e-09,3.0,118.82241145583015,31.88547938696462
9.600000000000001,747.5823259665796,-336.26237300580345,-3.095235934696088,-5.75923727627071e-08,3.0,118.8224093421244,31.885479303708546
9.8,747.3825408226189,-336.2716410289535,-3.095235934696071,5.759254146785796e-08,3.0,118.82240722841865,31.885479220452478
10.0,747.1827556786827,-336.2809090525604,-3.0952359346956593,1.659174344339806e-09,3.0,118.82240511471292,31.885479137196405
10.200000000000001,746.9829705347402,-336.2901770761052,-3.0952359346957086,-1.6596673724778743e-09,3.0,118.82240300100717,31.885479053940333
10.4,746.783185390816,-336.2994451000446,-3.0952359346957175,-6.09155620791104e-08,3.0,118.82240088730143,31.885478970684257
10.600000000000001,746.5834002468798,-336.30871312365133,-3.095235934695625,-5.7597648747917444e-08,3.0,118.8223987735957,31.885478887428185
10.8,746.3836151029191,-336.3179811468015,-3.095235934695617,5.7597728564194885e-08,3.0,118.82239665988995,31.885478804172116
11.0,746.1838299589766,-336.32724917034625,-3.09523593469611,-1.6587573236599465e-09,3.0,118.82239454618421,31.885478720916044
11.200000000000001,745.9840448150405,-336.3365171939531,-3.0952359346961233,-1.1008356372751269e-08,3.0,118.82239243247847,31.885478637659972
11.4,745.7842596710981,-336.3457852174979,-3.095235934696202,-1.6749657603274723e-09,3.0,118.82239031877272,31.8854785544039
11.600000000000001,745.5844745271373,-336.35505324064803,-3.095235934696092,5.7590982282650153e-08,3.0,118.82238820506699,31.88547847114783
11.8,745.3846893832074,-336.3643212643168,-3.0952359346960594,6.093067393688241e-08,3.0,118.82238609136124,31.88547838789176
12.0,745.1849042392831,-336.37358928825626,-3.095235934695684,1.6511143852262512e-09,3.0,118.8223839776555,31.885478304635683
12.200000000000001,744.9851190953407,-336.382857311801,-3.0952359346957046,-1.6513188304791915e-09,3.0,118.82238186394976,31.88547822137961
12.4,744.7853339514045,-336.39212533540785,-3.095235934695643,-5.76057350281559e-08,3.0,118.82237975024401,31.88547813812354
12.600000000000001,744.5855488074438,-336.401393358558,-3.0952359346956246,1.6575180551258123e-09,3.0,118.82237763653828,31.88547805486747
12.8,744.3857636635013,-336.4106613821028,-3.095235934695612,-1.6573937768262632e-09,3.0,118.82237552283253,31.885477971611397
13.0,744.1859785195652,-336.4199294057095,-3.095235934696106,1.6731631288309867e-09,3.0,118.8223734091268,31.885477888355325
13.200000000000001,743.9861933756227,-336.4291974292543,-3.095235934696214,1.6740735355180722e-09,3.0,118.82237129542105,31.885477805099253
13.4,743.7864082316803,-336.4384654527991,-3.095235934696089,-1.6728256884026736e-09,3.0,118.8223691817153,31.88547772184318
13.600000000000001,743.586623087744,-336.4477334764059,-3.095235934696039,1.6665773646101409e-09,3.0,118.82236706800957,31.88547763858711
13.8,743.3868379438015,-336.4570014999507,-3.0952359346956895,-1.6630825087091863e-09,3.0,118.82236495430382,31.885477555331036
14.0,743.1870527998591,-336.4662695234955,-3.09523593469572,-1.660200228243538e-09,3.0,118.82236284059809,31.885477472074964
