index,s_m,x_m,y_m,yaw_rad,curvature_1pm,target_speed_mps,lat_deg,lon_deg,elevation_m
0,0.0,0.0,0.0,-0.15095770336235736,-4.7734091040694085e-18,9.0,,,
1,0.5,0.5295089807133769,-0.08041418221448955,-0.1502262862374565,0.002733136456705395,9.0,,,
2,1.0,1.0587100416280055,-0.15998925991891486,-0.14802850915161564,0.005486036819425604,9.0,,,
3,1.5,1.5872952629451378,-0.23788612860321168,-0.14435379990164252,0.008278515420517581,9.0,,,
4,2.0,2.114956724866025,-0.3132656837573158,-0.139184556832134,0.011130473788906116,9.0,,,
5,2.5,2.641386507591919,-0.38528882087116295,-0.13249618485031495,0.014061909098136656,9.0,,,
6,3.0,3.1662766913240716,-0.45311643543468894,-0.12425716224846656,0.017092877603776684,9.0,,,
7,3.5,3.6893193562637343,-0.5159094229378295,-0.11442915570859045,0.02024339335601914,9.0,,,
8,4.0,4.21020658261216,-0.5728286788705204,-0.10296720718295974,0.023533238496607288,9.0,,,
9,4.5,4.7286304505705985,-0.6230350987226972,-0.08982002359833981,0.02698165666943485,9.0,,,
10,5.0,5.244283040340302,-0.6656895779842961,-0.07493040859762425,0.03060689581669558,9.0,,,
11,5.5,5.7568564321225235,-0.6999530121452525,-0.058235884746557914,0.03442556151705509,9.0,,,
12,6.0,6.266042706118514,-0.7249862966955023,-0.03966956450305974,0.038451738120694676,9.0,,,
13,6.5,6.771533942529525,-0.7399503271249812,-0.019161338130289057,0.04269583396496397,9.0,,,
14,7.0,7.2730222215568086,-0.744005998923625,0.0033605445180475866,0.04716311147953159,9.0,,,
15,7.5,7.770199623401616,-0.7363142075813696,0.02796741564389211,0.051851876578904985,9.0,,,
16,8.0,8.262758228265199,-0.7160358485881504,0.054727571819508436,0.05675132894190947,9.0,,,
17,8.5,8.75039011634881,-0.6823318174339035,0.08370302356555749,0.06183912072568992,9.0,,,
18,9.0,9.2327873678537,-0.6343630096085645,0.11494556225345202,0.06707874061390495,9.0,,,
