algorithm,speed_mode,target_speed_mps,reached_goal,steady_samples,steady_s_start_m,steady_s_end_m,steady_time_start_s,steady_time_end_s,steady_mean_speed_mps,steady_min_speed_mps,steady_max_speed_mps,steady_speed_std_mps,steady_mean_abs_error_m,steady_max_abs_error_m,steady_mean_signed_error_m,steady_signed_error_std_m,steady_steer_mean_rad,steady_yaw_rate_mean_radps,steady_normal_accel_mean_mps2,steady_model_v_yaw_rate_mean_mps2,steady_beta_max_rad,steady_steer_activity_radps,analysis_warning
pp,low,3.0,True,145,31.078556868957854,76.31422747583142,11.299999999999976,25.700000000000095,2.999999566246983,2.9999930816390585,2.9999999999996434,1.1830532409196471e-06,0.4387212077274108,0.4461523267301436,0.4387212077274108,0.003622584524972263,0.2140040135410066,0.2592950910295344,0.7499997831236237,0.7778851607353005,0.11764618347083451,0.19390940551703706,
pp,medium,5.0,True,89,31.078556868957854,76.31422747583142,7.899999999999988,16.699999999999967,4.860403447491425,4.113190210512757,4.999939974150586,0.24825881634137045,0.4721491418584946,0.504604062756089,0.4721491418584946,0.016381446502110517,0.2148522782890477,0.421644167450214,1.9737628426898126,2.0541418398073183,0.12295421056338848,0.0230187899603205,
pp,high,7.0,True,70,31.078556868957854,76.31422747583142,6.8999999999999915,13.799999999999967,6.246212935767102,4.247307402647507,6.996962124466168,0.9987555879944057,0.47448163948059796,0.48716251430219115,0.47448163948059796,0.006677963051889397,0.21571796623709166,0.5439526888572154,3.3343907302911933,3.4829490670005114,0.11618792764591876,0.11352049736064289,
lqr_kinematic,low,3.0,True,146,31.078556868957854,76.31422747583142,11.399999999999975,25.900000000000098,2.999999616603924,2.9999938426587622,2.9999999999997176,1.0497882491769208e-06,0.3322859998677693,0.34188736969628053,0.3322859998677693,0.005663714619614652,0.21141387672237705,0.25661672948886544,0.7499998083020659,0.7698500893746755,0.13636278159100243,0.969532251288205,
lqr_kinematic,medium,5.0,True,90,31.078556868957854,76.31422747583142,7.899999999999988,16.79999999999997,4.85251408209707,4.081805328032286,4.9999413280364395,0.2607768298297759,0.37947545480195555,0.4125378032772188,0.37947545480195555,0.019708794427874873,0.21273157815220525,0.4173384604011356,1.967908122660536,2.031417727249352,0.17850644841094102,0.49519388000374853,
lqr_kinematic,high,7.0,True,71,31.078556868957854,76.31422747583142,6.999999999999991,13.999999999999966,6.246892163649166,4.202119489432203,6.997254992154233,1.0082880733500408,0.32797569660269466,0.4761122600232301,0.32797569660269466,0.07221263046955767,0.19492176687770058,0.5239717623001592,3.336692211926774,3.3493424070910285,0.33676726103229854,5.6941776123909325,
mpc,low,3.0,True,147,31.078556868957854,76.31422747583142,11.399999999999975,26.0000000000001,3.0179033683885383,2.9899165156277427,3.045378914962134,0.01863246550503273,0.2190889706429067,0.22604320668478123,0.2190889706429067,0.0048525529502626554,0.2098835614676337,0.2557729905267589,0.7590073258084734,0.7710655260115657,0.13696931208471608,0.774156226938986,
mpc,medium,5.0,True,90,31.078556868957854,76.31422747583142,7.699999999999989,16.599999999999966,4.887534571444594,4.8841760750958665,4.890231289284208,0.0013473525741386305,0.25192630565629737,0.25222073953479673,0.25192630565629737,0.0004974896962228782,0.21085127211721333,0.4160609140255701,1.9906663335354207,2.0335122472438956,0.1067540575894685,4.472422008238978e-05,
mpc,high,7.0,True,63,31.078556868957854,76.31422747583142,6.399999999999993,12.599999999999971,6.958008547245959,6.930247182818473,6.9851603255817265,0.01675546018153049,0.2977639778671343,0.31773928435346704,0.2977639778671343,0.012196293757852092,0.21101209841211213,0.5943967265380334,4.034513640749476,4.13293014655323,0.15350382594966672,1.2741629870594438,
