algorithm,speed_mode,target_speed_mps,reached_goal,mean_lateral_error_m,max_lateral_error_m,mean_heading_error_rad,max_steer_rad,max_normal_acceleration_mps2,max_side_slip_beta_rad,max_yaw_rate_radps,duration_s,peak_stage,peak_time_s,peak_progress_m,steer_saturation_fraction,max_observed_steer_rate_radps,entry_max_abs_error_m,central_arc_max_abs_error_m,exit_max_abs_error_m,straight_max_abs_error_m
pp,low,3.0,True,0.2859095093353732,0.4461523267301436,0.06459127696737445,0.23212306890462017,0.7499999999999991,0.11764618347083451,0.28169997118598106,37.10000000000026,central_arc,15.299999999999962,43.46094794015499,0,0.2637216159375545,0.4413997697468699,0.4461523267301436,0.440386531936667,0.23588739352940266
pp,medium,5.0,True,0.287839682858125,0.504604062756089,0.058163395738260196,0.24229937377696645,2.083331816781744,0.12295421056338848,0.48958566022408095,24.70000000000008,central_arc,10.399999999999979,43.46094794015499,0,0.3149025284772333,0.5037291526488576,0.504604062756089,0.47545611891881273,0.2089838829372201
pp,high,7.0,True,0.2749968037058717,0.5250819102252569,0.0505470573546803,0.22932094744878162,4.081572128094431,0.11618792764591876,0.6362865275075772,20.700000000000024,entry,5.899999999999995,26.485089213513724,0,0.32808549121949254,0.5250819102252569,0.48716251430219115,0.48506869170270484,0.1830567451214969
lqr_kinematic,low,3.0,True,0.2194994821330424,0.34188736969628053,0.06220495451663642,0.27485329965383415,0.7499999999999991,0.1400717999515218,0.33481197470415136,37.30000000000026,central_arc,15.69999999999996,44.45952786525154,0,3.0415731223837086,0.3293318188163647,0.34188736969628053,0.34132414666624195,0.3364036120815383
lqr_kinematic,medium,5.0,True,0.23871592243674472,0.4129727913822889,0.05446079897185985,0.35140234833049727,2.0833318509876295,0.18129648144647403,0.7212190984514399,24.800000000000082,exit,16.99999999999997,76.91337543088933,0,3.8225483050938127,0.38948574023397753,0.4125378032772188,0.4129727913822889,0.4084355454774586
lqr_kinematic,high,7.0,True,0.1900253880716986,0.4761122600232301,0.05296025542919467,0.6108652381980153,4.081916943632052,0.33676726103229854,1.8501300190845886,21.10000000000003,central_arc,9.799999999999981,46.45668771544463,0.22641509433962265,12.217304763960133,0.4020912647672035,0.4761122600232301,0.3622257694814967,0.3616327733239285
mpc,low,3.0,True,0.14423989543592974,0.22604320668478123,0.061652665976246766,0.26898403639114454,0.7779371116037761,0.13696931208471608,0.3282948507363979,37.20000000000026,central_arc,17.999999999999986,51.449587340927366,0,1.08882803226512,0.22508266483714198,0.22604320668478123,0.22604308893911373,0.147847086391088
mpc,medium,5.0,True,0.15657819694394615,0.2541156022168086,0.04766223143890661,0.21340412769874376,2.18957957170291,0.1079308491418502,0.4212552516506699,24.500000000000078,entry,6.299999999999994,24.487929363320635,0,0.2626238315369502,0.2541156022168086,0.25222073953479673,0.2533060467380716,0.15648171979933653
mpc,high,7.0,True,0.16790837716224238,0.3475031459233523,0.04492237629152586,0.33076427020577387,4.066038731173418,0.17003175602490644,0.8646831838624068,19.500000000000007,exit,14.399999999999965,88.39704456949964,0,1.7347496315680515,0.315277728338549,0.31773928435346704,0.3475031459233523,0.1990799558584622
