algo_cn,max_steer_deg,reached_goal,mean_lateral_error_m,max_lateral_error_m,max_side_slip_beta_rad,max_yaw_rate_radps,steer_saturation_fraction,mean_abs_steer_rate_radps
PP,35.0,True,0.1351843538920344,1.1064153256761737,0.22185784539965442,0.9567319587941906,0.0,0.07666888676797852
PP,25.0,True,0.1351843538920344,1.1064153256761737,0.22185784539965442,0.9567319587941906,0.0,0.07666888676797852
PP,15.0,True,0.3109241370251947,1.557141353047001,0.13318154107123603,0.5834195006644493,0.20689655172413793,0.08675672717467214
运动学 LQR,35.0,True,0.09889055101768383,0.718553466739319,0.33676726103229854,1.4417997396513034,0.034782608695652174,0.6267714722509349
运动学 LQR,25.0,True,0.06033792971899209,0.43598728816573473,0.2290616906572508,0.993852803206407,0.10434782608695652,0.2778438674863143
运动学 LQR,15.0,True,0.7443547367692661,3.5282509183150417,0.13318154107123603,0.5836698268438839,0.2833333333333333,0.10158903632704797
