route_cn,algo_cn,peak_error_time_s,peak_error_reference_s_m,abs_curvature_at_peak_error_1pm,max_visited_abs_curvature_1pm,first_peak_curvature_time_s,last_peak_curvature_time_s
双移线,PP,6.8999999999999915,36.0,0.18541344879132185,0.2132886775705013,2.500000000000001,2.500000000000001
双移线,运动学 LQR,5.699999999999996,26.5,0.09222859485261922,0.2132886775705013,2.500000000000001,2.500000000000001
双移线,MPC,5.299999999999997,24.0,0.15981976795573752,0.2132886775705013,2.500000000000001,2.500000000000001
直角弯,PP,4.799999999999999,18.49812523436105,0.2,0.2,4.100000000000001,5.1999999999999975
直角弯,运动学 LQR,5.299999999999997,20.99708369789497,0.2,0.2,4.100000000000001,5.299999999999997
直角弯,MPC,5.299999999999997,20.99708369789497,0.2,0.2,4.100000000000001,5.399999999999997
S 弯,PP,7.899999999999988,41.0,0.26497946270175177,0.26497946270175177,7.899999999999988,7.899999999999988
S 弯,运动学 LQR,6.299999999999994,29.5,0.08757921842391739,0.26497946270175177,8.099999999999987,8.099999999999987
S 弯,MPC,5.999999999999995,27.5,0.1937859457993259,0.27054968673984287,5.799999999999995,5.799999999999995
