algorithm,case,time_s,x_m,y_m,route_s_m,speed_mps,target_speed_mps,curvature_1pm,steer_rad,lateral_error_m,vehicle_lon_deg,vehicle_lat_deg,reference_lon_deg,reference_lat_deg,nearest_major_turn,phase_relative_to_turn,reference_index,turn_curvature_peak_s_m,station_offset_from_turn_curvature_peak_m
PP,pp_baseline,93.89999999999894,488.1917802666327,-344.8042560786778,270.8,2.1755568697204595,1.9568940053675845,-0.18279463046023722,-0.3731055368629074,-0.7741735772627596,118.81966501752159,31.885402570667353,118.81965777817898,31.885399246541702,1,within,1354,270.0,0.8000000000000114
Kinematic LQR,lqr_baseline,94.79999999999889,487.2878906982112,-343.4288313060225,272.6,2.0995719802516493,2.2291183798861427,-0.1408743010875601,-0.3571951772990594,-0.555864610813133,118.81965545446533,31.885414926318305,118.81964970060795,31.885413824470408,1,within,1363,270.0,2.6000000000000227
MPC,mpc_baseline,93.19999999999898,488.1087963499524,-345.4291270504138,270.2,2.141839707826077,1.929633888723788,-0.1879958249972797,-0.37747674222253663,-0.32622587473755515,118.8196641395605,31.885396957355905,118.81966161398874,31.885394955461262,1,within,1351,270.0,0.19999999999998863
PP (2 m/s cap),pp_slower,137.69999999999646,488.17654418336065,-344.8444507789891,270.6,1.9656491236744849,1.9439824896077613,-0.18523085978783588,-0.36902501404510973,-0.7385335851802066,118.81966485632543,31.885402209592215,118.81965899389265,31.885397776164893,1,within,1353,270.0,0.6000000000000227
