algorithm,case,reached_goal,arrival_time_s,simulation_duration_s,mean_lateral_error_m,max_lateral_error_m,finish_error_m,route_length_m,mean_progress_speed_mps,last_reference_s_m,mean_abs_steer_rate_radps,steering_saturation_fraction
PP,pp_baseline,True,299.69999999999965,299.69999999999965,0.030713932070245583,0.7741735772627596,0.5296415033885935,879.539098415298,2.9347317264441073,879.539098415298,0.00865786895914442,0.0
PP (2 m/s cap),pp_slower,True,441.80000000003196,441.80000000003196,0.024831660532547057,0.7385335851802066,0.18316081216236058,879.539098415298,1.990808280704469,879.539098415298,0.00549881690714887,0.0
