algorithm,case,reached_goal,arrival_time_s,simulation_duration_s,mean_lateral_error_m,max_lateral_error_m,finish_error_m,route_length_m,mean_progress_speed_mps,last_reference_s_m,mean_abs_steer_rate_radps,steering_saturation_fraction
PP,pp_baseline,True,299.69999999999965,299.69999999999965,0.030713932070245583,0.7741735772627596,0.5296415033885935,879.539098415298,2.9347317264441073,879.539098415298,0.00865786895914442,0.0
Kinematic LQR,lqr_baseline,True,300.19999999999976,300.19999999999976,0.024964716080926142,0.555864610813133,0.6303484521050391,879.539098415298,2.9298437655406353,879.539098415298,0.03263574345622605,0.0
MPC,mpc_baseline,True,299.4999999999996,299.4999999999996,0.014622363088667384,0.32622587473755515,0.00684896915636888,879.539098415298,2.9366914805185282,879.539098415298,0.019025427592383612,0.0
