case,before_mean_error_m,after_mean_error_m,before_max_error_m,after_max_error_m
pp_baseline,0.03267203237493537,0.030713932070245583,1.375793315489909,0.7741735772627596
lqr_baseline,0.016828675286304374,0.024964716080926142,0.5353181662511892,0.555864610813133
mpc_baseline,0.010165524046816917,0.014622363088667384,0.4053883978427356,0.32622587473755515
