pp_base_lookahead_m,reached_goal,mean_lateral_error_m,max_lateral_error_m,max_steer_rad,J_delta,steps,finish_error_m,run_dir
1.5,True,0.22111835407058653,0.7671372291204638,0.4279076501805115,0.23235962858548007,148,0.8404492654457784,20260917_190929_pp_s_curve_medium
3.0,True,0.33315855092368624,1.171031499034314,0.5870630891023877,0.29177661426159457,147,0.8971423039036028,20260917_190951_pp_s_curve_medium
5.0,True,0.5460913200561315,1.854236381253152,0.33820057447988006,0.16877322346356302,144,0.8574005741071742,20260917_191015_pp_s_curve_medium
