speed_mode,target_speed_mps,mean_actual_speed_mps,theory_curvature_1pm,mean_curvature_1pm,mean_steer_rad,theory_steer_rad,steer_error_pct,mean_yaw_rate_radps,theory_yaw_target_radps,yaw_target_error_pct,theory_yaw_actual_radps,yaw_actual_error_pct,mean_normal_accel_mps2,theory_accel_target_mps2,accel_target_error_pct,theory_accel_actual_mps2,accel_actual_error_pct,mean_lateral_error_m,max_abs_lateral_error_m,std_lateral_error_m,max_abs_beta_rad,mean_steer_rate_radps,steady_samples
low,3.0,2.9999934594046422,0.08333333333333333,0.08333333333333351,0.21042218888894426,0.20539538918976738,2.447377090112066,0.255392904917892,0.25,2.1571619671568065,0.24999945495038706,2.157384690528746,0.7499967297436108,0.75,0.0004360341852323775,0.7499967297436108,0.0,0.3294486786230042,0.34188736969628053,0.009906879012531232,0.13636278159100243,0.9725848989444169,199
medium,5.0,4.786735264605178,0.08333333333333333,0.08333333333333336,0.21147957505932014,0.20539538918976738,2.9621823029004313,0.4091530445904119,0.41666666666666663,1.8032692983011336,0.3988946053837648,2.5717167061654678,1.9178672842083475,2.083333333333333,7.942370357999307,1.9178672842083475,0.0,0.3790890478353687,0.4129727913822889,0.019550098192184562,0.17850644841094102,0.5034625342206743,123
high,7.0,6.059595065768181,0.08333333333333333,0.08333333333333322,0.19969982076344128,0.20539538918976738,2.7729777424866584,0.5224135121877266,0.5833333333333333,10.443397910675433,0.5049662554806817,3.455133193095574,3.162195429835588,4.083333333333333,22.558479269332533,3.162195429835588,0.0,0.3254889686478392,0.4761122600232301,0.07078039965735256,0.33676726103229854,5.6422012436628135,98
